BGM,REF
94,90
166,150
128,113
122,119
238,270
217,214
224,209
134,130
548,142
87,82
100,101
192,216
135,134
148,143
133,131
127,121
88,83
152,153
162,163
97,101
98,102
382,400
291,299
192,184
148,149
181,206
186,162
97,89
196,203
310,327
138,121
57,56
168,166
89,86
217,186
140,111
124,138
124,141
91,90
145,142
127,129
189,210
172,173
213,221
117,123
128,139
436,445
131,121
94,86
149,135
181,170
76,79
104,108
99,104
117,106
310,305
140,139
194,191
404,478
78,82
132,130
140,144
237,237
154,158
86,81
196,199
96,101
211,220
284,327
125,149
190,184
153,147
94,97
124,125
209,226
154,152
197,191
100,104
146,131
75,79
145,142
216,217
105,102
103,114
114,101
123,131
131,150
123,123
193,166
108,104
113,123
111,130
133,129
401,423
118,118
124,114
305,321
114,91
139,125
180,185
256,326
112,115
115,110
199,170
265,279
167,186
210,224
93,89
295,333
160,155
184,176
136,134
175,167
168,164
180,203
84,100
101,104
118,127
190,199
105,103
104,100
104,99
153,151
139,145
136,138
116,113
124,129
103,100
134,131
128,114
61,73
159,180
157,135
127,121
107,120
104,102
82,80
131,134
206,211
124,129
131,140
177,234
206,191
186,177
214,222
103,103
139,154
194,201
161,164
129,119
90,85
114,126
114,116
120,112
153,152
389,429
165,185
115,108
103,109
110,115
152,158
151,138
164,142
108,114
113,122
181,190
106,112
156,163
57,94
153,157
103,104
298,290
85,83
163,160
149,143
120,116
256,263
139,150
116,75
98,98
93,99
109,119
115,116
89,89
130,123
75,67
147,146
175,163
194,177
156,167
177,173
175,198
107,106
130,136
473,589
157,163
449,508
101,103
130,129
133,135
254,257
112,102
81,84
120,113
110,100
121,122
95,91
133,125
145,157
154,163
154,158
211,207
290,311
155,161
200,189
106,106
123,128
99,105
185,189
136,125
104,93
89,85
99,101
129,116
230,237
128,129
84,82
131,136
226,242
125,109
109,122
95,89
250,253
118,129
236,253
85,82
176,177
94,135
163,140
119,128
160,160
74,83
124,120
68,64
122,133
151,155
188,194
492,526
89,92
192,192
143,132
191,208
93,95
230,223
150,164
95,103
78,88
180,165
148,148
111,99
147,131
73,61
98,96
140,131
291,206
85,62
123,116
117,113
111,113
144,162
106,110
96,98
146,157
251,258
121,123
138,130
124,136
142,150
93,94
135,138
244,255
120,120
189,132
196,195
108,116
140,175
130,130
134,140
279,250
290,320
116,118
75,74
207,225
155,174
118,116
130,133
184,180
164,164
147,137
88,95
492,505
268,292
109,118
103,111
425,480
108,114
87,93
115,107
371,407
187,200
188,178
254,238
93,92
90,92
153,148
115,116
124,124
125,123
112,110
116,116
250,252
118,122
140,150
92,86
74,55
149,161
139,131
119,119
175,187
151,156
160,170
115,123
102,96
99,96
125,134
188,201
144,167
114,105
107,98
281,291
166,158
122,120
258,262
105,111
77,80
91,94
72,66
107,106
155,172
125,131
124,126
164,163
94,85
101,106
128,118
145,155
140,141
126,115
120,118
107,118
136,156
105,112
115,121
271,276
169,189
116,122
106,109
203,227
355,356
146,156
116,110
185,217
282,283
154,163
101,99
139,142
86,88
109,108
161,157
140,143
119,133
118,114
138,145
183,171
210,213
172,180
53,39
201,232
86,87
100,101
106,115
268,283
213,221
83,89
94,96
110,111
161,178
93,96
85,86
165,152
78,86
152,155
261,270
94,91
137,131
161,142
131,129
150,145
96,103
82,84
112,133
113,111
188,177
159,160
84,88
88,80
167,179
66,65
113,120
306,299
236,229
165,164
128,134
142,168
121,115
103,109
159,146
115,124
194,198
235,242
102,100
112,114
88,96
405,453
178,201
92,98
147,151
94,93
158,150
231,232
118,118
165,181
156,162
92,98
102,129
86,92
100,105
125,121
133,144
81,83
143,136
124,131
101,105
134,136
276,290
101,107
104,109
139,134
313,323
119,96
135,40
146,138
206,213
90,95
135,133
137,135
104,127
144,143
166,179
107,108
163,171
119,126
82,83
156,166
186,174
122,133
408,443
175,199
187,172
156,171
91,100
123,123
162,177
222,192
161,157
104,102
141,149
391,425
107,106
96,96
122,129
89,87
191,196
130,130
209,199
88,92
114,121
104,118
126,129
513,634
103,139
155,167
112,123
136,150
123,126
116,138
96,107
131,123
102,103
116,116
171,154
137,113
160,156
128,128
203,171
335,349
138,140
157,165
367,418
103,111
279,254
118,114
113,108
146,169
204,201
85,99
142,138
103,102
62,59
239,230
103,90
181,169
122,128
107,116
139,153
109,113
121,124
121,124
98,90
96,100
273,283
138,133
104,104
175,161
171,147
176,179
106,104
188,182
149,147
205,209
154,161
115,121
185,178
168,171
106,110
184,170
86,127
170,342
87,92
126,122
92,103
119,123
191,214
130,155
127,119
156,144
80,77
21,16
146,156
165,179
114,108
218,231
130,152
120,119
195,198
161,183
214,177
91,86
109,102
137,143
129,129
88,81
131,128
263,284
107,115
100,102
83,89
133,146
106,104
80,96
332,355
209,215
124,122
95,95
218,240
121,125
138,135
202,200
65,60
118,117
237,255
99,93
134,132
121,126
292,297
130,130
115,117
212,210
88,88
147,145
98,86
126,132
99,98
115,84
103,106
118,111
124,117
152,156
103,108
225,226
127,125
169,180
95,112
93,97
141,153
133,133
155,150
217,208
92,102
118,126
186,209
120,126
106,112
153,146
122,126
126,133
317,358
125,130
93,97
110,115
94,98
116,114
161,131
86,89
143,145
169,168
98,95
90,82
173,164
266,254
107,100
111,111
129,128
163,179
220,246
81,87
168,177
125,129
191,195
115,111
140,140
213,191
476,467
88,90
151,134
225,246
181,185
132,132
142,146
101,120
142,139
137,135
114,108
81,77
151,155
173,159
108,113
95,90
457,484
225,223
134,128
142,142
237,251
445,510
162,150
120,116
137,140
106,106
191,205
142,126
156,164
132,134
76,59
117,116
122,118
161,155
98,101
214,207
61,80
116,118
143,139
109,106
278,314
113,109
335,376
111,111
191,198
377,406
143,133
155,132
90,98
104,112
82,79
472,475
127,126
91,93
99,94
128,125
323,341
109,95
153,163
157,161
124,126
108,107
127,124
203,208
121,124
77,87
135,123
121,122
206,232
168,167
505,705
199,183
71,107
123,132
147,161
84,84
209,187
116,105
142,137
155,140
209,215
133,127
151,162
164,196
285,283
410,469
125,135
99,103
77,83
412,486
153,143
144,145
128,125
80,83
123,112
129,120
123,124
105,113
350,360
206,207
253,257
118,129
181,182
141,143
119,109
117,122
120,123
130,123
100,68
156,147
221,228
560,643
87,93
111,114
435,526
243,259
194,199
106,96
77,69
133,131
141,135
149,166
105,102
128,145
144,145
157,153
118,114
134,139
169,129
105,105
199,182
190,191
127,123
103,102
178,183
379,423
155,167
218,232
140,148
100,89
212,214
137,147
162,178
81,92
291,319
166,179
170,169
105,115
99,102
155,163
83,84
201,199
141,155
85,91
139,138
157,158
200,219
104,103
116,125
149,135
215,204
113,113
169,164
191,222
347,316
114,116
104,103
160,150
126,132
147,163
157,163
308,278
376,350
124,141
129,123
84,78
155,164
138,157
118,116
183,178
128,125
121,107
146,155
116,115
117,140
144,141
100,98
101,91
116,110
127,142
129,128
152,155
177,181
148,136
208,215
328,305
101,102
108,88
124,120
175,166
168,134
72,75
94,85
63,67
180,189
141,139
98,99
264,269
102,100
150,155
113,119
105,100
94,98
200,188
52,55
288,293
90,94
91,98
170,175
80,66
127,137
113,124
244,299
132,139
117,117
123,120
108,95
85,87
100,106
104,104
117,114
92,95
214,183
310,279
191,167
96,99
98,92
128,136
211,305
176,177
166,383
147,138
112,111
175,172
144,171
115,126
115,116
99,104
127,130
147,150
113,122
135,153
123,130
149,148
135,128
110,131
99,95
264,286
168,170
184,198
73,78
193,180
159,164
95,103
131,139
154,151
96,101
113,100
86,83
129,127
118,116
153,155
138,141
130,127
102,108
151,162
137,142
128,124
134,145
147,146
117,112
146,139
81,86
115,123
122,120
131,133
172,170
108,118
134,120
102,101
