BGM,REF
90,103
132,126
146,151
148,153
212,188
171,173
122,117
151,138
170,169
134,120
121,137
92,94
89,74
335,349
339,385
107,123
175,163
145,137
374,374
121,107
42,36
96,96
106,105
154,144
96,101
169,164
176,178
92,96
137,122
116,111
122,116
142,144
116,102
258,262
87,91
107,106
159,156
130,125
167,155
91,82
209,204
240,238
59,41
115,121
107,103
206,225
152,193
174,168
144,144
135,149
114,110
79,79
182,173
261,279
127,118
281,298
119,116
141,155
88,88
196,203
166,166
192,170
78,82
160,175
157,148
128,128
303,319
380,406
80,98
238,229
104,102
239,240
198,188
109,114
149,157
202,219
163,167
103,106
256,281
128,113
252,248
119,118
120,132
246,232
140,132
84,84
139,142
150,133
48,44
103,103
119,121
73,79
167,166
109,101
83,85
95,102
126,136
230,236
111,108
121,111
155,161
191,205
144,147
144,139
114,126
126,123
138,157
109,109
151,144
156,166
216,219
87,76
86,95
120,124
123,128
175,177
104,109
107,102
139,145
141,153
451,465
344,371
113,111
75,62
104,94
132,145
62,59
45,37
99,93
107,121
149,136
121,127
85,87
101,117
110,125
227,207
153,153
105,97
135,132
172,173
186,167
110,119
114,122
155,159
390,598
165,181
127,138
144,147
140,148
122,124
157,163
131,129
118,108
103,103
136,144
94,103
163,157
147,145
177,166
127,133
112,114
141,147
106,108
118,120
174,162
123,105
146,148
118,116
131,136
165,169
380,411
88,97
128,136
111,125
193,184
80,96
124,126
157,175
108,98
221,246
92,95
161,150
108,122
146,141
193,191
143,145
112,133
87,75
181,185
175,182
109,111
176,191
74,55
263,249
111,110
78,76
170,142
122,122
266,248
147,156
54,53
125,131
143,139
258,142
142,143
175,161
136,120
112,110
124,116
134,136
121,119
145,145
88,60
92,106
97,91
109,122
116,133
40,39
157,145
143,153
93,101
184,165
120,123
200,207
161,162
131,133
96,99
208,208
165,171
365,410
76,59
125,122
107,119
104,98
138,145
83,82
167,173
116,128
150,120
120,113
129,129
202,192
297,325
144,136
113,121
331,352
182,188
202,189
256,252
183,217
120,123
128,121
89,93
294,339
140,141
93,95
98,95
147,156
173,159
281,303
308,316
157,169
132,132
128,137
180,198
148,151
128,128
164,154
124,128
127,122
161,150
96,101
150,143
150,163
154,158
109,103
199,183
313,302
197,215
192,220
179,181
123,118
236,242
140,175
100,102
160,160
177,198
138,161
78,76
100,97
125,123
128,126
129,128
191,187
106,112
164,152
114,106
104,95
105,103
92,95
197,200
171,178
95,102
194,177
130,117
191,179
